Test Case Title,Step Action,Step Expected,Requirement ID,Priority,Tags,Pages,Story Id,Epic,Area Path,Iteration Path
"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",I am logged into the Clinician Portal. | I search for a patient's record.,I can view digitized assessments and care plans for that patient.,1.1,Must,@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6,7c4c1495-1f6d-4462-bd63-191fd15ea6ba,Digitize patient records and automate tracking.,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient data through the clinician portal so that I can review patient information efficiently.",I am logged into the clinician portal. | I search for and select a patient.,"I can view the patient's data, including scanned documents and session information.",1.4,Must,@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5;6,855160d4-16c6-4f25-a186-5279dcbbcfd3,"Replace Trillium's current system with a new system including database, clinician portal, and session application.",Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient clinical information in the clinician portal so that I can efficiently review patient data and make informed decisions.",the Doctor is logged into the clinician portal. | the Doctor searches for a specific patient.,"the Doctor should be able to view the patient's clinical information, including relevant documents and related data.",2.1.1,Must,@priority_Must @req_2.1.1 @FDA21CFR11 @HIPAA,6,a99367a2-ad05-4a4b-a4d2-91390abb0115,Implement Database for Trillium Health,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",I am logged into the clinician portal. | I search for a patient.,I can view the patient's relevant clinical information and documents in an organized manner.,2.1.2,Must,@priority_Must @req_2.1.2 @HIPAA,6;13,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.","I am viewing a patient's record. | I navigate to different sections of the record (e.g., vitals, medications, history).",The information loads quickly and is presented in a clear and understandable format.,2.1.2,Must,@priority_Must @req_2.1.2 @HIPAA,6;13,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Healthcare\DayHealth,Release 1
"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",I am a patient at Day Health and have a scheduled session. | I use the fingerprint scanner at check-in.,My attendance for Day Health and the specific session is automatically recorded.,2.1.3,Must,@priority_Must @req_2.1.3 @FDA21CFR11 @HIPAA,9;10,bf688cd2-f118-4e36-9bfd-432eebbbf55d,,Healthcare\DayHealth,Release 1
"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",A table in the database has been modified | The system saves the changes,The previous state of the table is stored along with the changes made.,2.3.2.1,Must,@priority_Must @req_2.3.2.1 @FDA21CFR11 @HIPAA,6,3d373e82-3575-4b20-9827-bdae31729eb9,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign in for the day using a fingerprint scanner, so that my attendance is recorded accurately.",I am a patient arriving for the day. | I use the fingerprint scanner.,My attendance is recorded in the system.,2.3.2.2,Must,@priority_Must @req_2.3.2.2,6;9,d91e5c35-9555-4982-a8f8-914a055ddd85,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",I am a patient in the system. | I sign out for the day.,My sign-out time is stored in the system.,2.3.2.3,Must,@priority_Must @req_2.3.2.3,6,f97ac7d0-f8b7-4ec7-a54a-59bb9f9413b5,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign in for sessions, so that my attendance is recorded.",I am a patient scheduled for a session | I use the fingerprint scanner,the system records my attendance for the session,2.3.2.4,Must,@priority_Must @req_2.3.2.4 @FDA21CFR11 @HIPAA,6;9,f5517b01-024f-492c-86ba-ac2788e2b5d3,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to confirm session attendance taken through fingerprint scanner so that I can ensure accurate records of patient participation.",The system has recorded session attendance via fingerprint scanner. | I access the session attendance records.,I can confirm the attendance data is accurate.,2.3.2.5,Must,@priority_Must @req_2.3.2.5,6;9,527f103d-1603-40cf-8198-6b8dfa457f4d,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store new documents in the database, so that I can maintain a comprehensive record of patient information.",I am a logged-in Clinician. | I upload a new patient document.,"The document is successfully stored in the database, adhering to HIPAA and FDA 21 CFR Part 11 constraints.",2.3.2.6,Must,@priority_Must @req_2.3.2.6 @FDA21CFR11 @HIPAA,6;8,8a313ed6-cc82-4a0a-aa97-e9cc92a97687,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to add a patient's care plan so that I can manage and track their treatment effectively.",I am logged in as a Clinician. | I add a new care plan for a patient.,The care plan is stored in the system and linked to the patient's record.,2.3.2.7,Must,@priority_Must @req_2.3.2.7 @FDA21CFR11 @HIPAA,6;11,db06f16a-6a36-452a-9a1f-e617be30c0f6,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store patient care plans so that I can easily access and manage them within the system.",The doctor is logged into the system and has selected a patient. | The doctor creates or updates a patient care plan.,"The system should store the care plan securely in the database, adhering to HIPAA regulations.",2.3.2.8,Must,@priority_Must @req_2.3.2.8 @HIPAA,6,0f91a6e9-817f-46c8-9026-3f6ee1ebd75d,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track reviews of care plans so that I can ensure patient care plans are regularly evaluated and updated.",A care plan exists for a patient. | A doctor reviews the care plan.,The system records the review date and the doctor who performed the review.,2.3.2.9,Must,@priority_Must @req_2.3.2.9 @FDA21CFR11 @HIPAA,6,de66dc53-f2fc-4061-b098-f552e7c68520,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track approval of care plans so that I can ensure proper authorization and adherence to treatment protocols.",A care plan exists for a patient | The care plan is submitted for approval,"The system should record the approval status, approver, and timestamp.",2.3.2.10,Must,@priority_Must @req_2.3.2.10 @FDA21CFR11 @HIPAA,6,a8bd0686-5690-476f-bb03-1517119db8f3,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store care plan updates and changes so that the patient's EHR is up-to-date.",The doctor has made updates to a patient's care plan | The doctor saves the updated care plan,The system stores the care plan updates and changes in the database.,2.3.2.11,Must,@priority_Must @req_2.3.2.11 @HIPAA,6;14,44055438-1f5c-4d0a-921c-812679456594,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store tracks so that I can monitor patient progress and outcomes.",The system is running and accessible. | I input track data for a patient.,The track data is stored securely in the database and associated with the correct patient.,2.3.2.12,Should,@priority_Should @req_2.3.2.12 @FDA21CFR11 @HIPAA,6,1affbf21-7111-4374-8fb6-9c1833e7c2d0,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store classes so that patient care plans can be comprehensive.",The system is running and the clinician is logged in. | The clinician creates a new class or updates an existing class.,The system stores the class details in the database.,2.3.2.13,Should,@priority_Should @req_2.3.2.13 @FDA21CFR11 @HIPAA,6;11,75e23dd8-b344-426e-8a52-b1a317b22673,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to link patients to classes so that I can manage patient schedules and track their progress in relevant programs.",I am a clinician with appropriate privileges. | I am viewing a patient's record or a class schedule.,I can easily link the patient to the class.,2.3.2.14,Must,@priority_Must @req_2.3.2.14,6;8,efef7ae0-f6e9-4102-a783-b9c2f4ec7234,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to store schedules, so that I can manage patient appointments and staff availability.",I am logged in as a Nurse. | I enter the schedule information.,The system stores the schedule information in the database.,2.3.2.15,Must,@priority_Must @req_2.3.2.15,6,48cfc3ec-fb4e-4c02-8792-47151ab03b1c,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access stored patient sessions so that I can review patient progress and adjust care plans.",Patient data exists in the system | I request to view a patient's sessions,"I should see a list of the patient's sessions, including date, time, and session details.",2.3.2.16,Should,@priority_Should @req_2.3.2.16 @FDA21CFR11 @HIPAA,5;6,9021299a-87c3-49df-a0b1-9f52e8aa61f9,,Healthcare\DayHealth,Release 1
"As a user, I want to store all data associated with sessions so that the system maintains a complete record of patient activity and attendance.","The user is interacting with the system | The system processes session-related data (e.g., attendance, schedules, modifications)",The system stores all relevant data associated with the session in the database.,2.3.2.17,Must,@priority_Must @req_2.3.2.17 @FDA21CFR11 @HIPAA,5;6,693d2cf2-1b1c-453e-8edf-55e28808ee46,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store group notes for sessions so that I can easily access and review session details.",I am logged into the system and viewing a patient's session. | I enter group notes for the session.,The group notes are stored securely in the database and associated with the session.,2.3.2.18,Should,@priority_Should @req_2.3.2.18 @FDA21CFR11 @HIPAA,6,ec1e7a0f-fb31-4f4a-afcb-c4fd01c5203f,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store individual notes for sessions, so that I can track patient progress and tailor treatment plans effectively.",A session exists for a patient | I enter notes related to the session,"The notes are stored securely and associated with that specific session and patient, adhering to HIPAA regulations.",2.3.2.19,Must,@priority_Must @req_2.3.2.19 @HIPAA,6;8,164c07a3-af81-49ba-9fd9-59d22ec0a148,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track reviews of care plans so that I can ensure quality of patient care.",a care plan exists for a patient | a review is performed on the care plan,"the system should track the review, including the reviewer and date of review",2.3.2.9,Should,@priority_Should @req_2.3.2.9 @HIPAA,6;8,72a7ef77-9f22-4335-acdf-9f51d8460289,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view the Assessment timeline so that I can easily track patient progress.",I am logged into the system as a Doctor and viewing a patient's record. | I navigate to the Assessments section.,"I should see a clear and accurate timeline of the patient's assessments, including dates and key milestones.",2.3.2.21,Must,@priority_Must @req_2.3.2.21,7,15ca43a3-0201-4435-b955-59f36295e576,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to calculate who is billable based on dates, so that the billing process is streamlined and accurate.","The system has patient data, session information, and billing rules. | I initiate the billability calculation process.",The system accurately identifies and displays which patients are billable based on the specified dates and billing rules.,2.3.2.22,Must,@priority_Must @req_2.3.2.22,7,4a231938-a4a3-4d19-9bdd-cd7cb0cab25c,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to keep track of what claims have been sent for, so that I can efficiently manage billing and ensure accurate revenue cycle management.",A patient session has occurred and a claim needs to be generated. | The claim is submitted for processing.,"The system should record the details of the claim, including patient, service, date, and amount submitted.",2.3.2.23,Must,@priority_Must @req_2.3.2.23 @HIPAA,7,bcf39837-9725-4791-8753-c87c1761987e,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track the status of claims (accepted or denied) so that I can efficiently manage patient billing and revenue cycle.",A claim has been submitted for a patient | The claim is accepted or denied by the insurance provider,The system should update the claim status to reflect the accepted or denied status.,2.3.2.24,Must,@priority_Must @req_2.3.2.24 @HIPAA,7,476e2c5d-59ac-4952-b2f8-bba2f7be8026,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track the status of claims (accepted or denied) so that I can efficiently manage patient billing and revenue cycle.",I am viewing a patient's billing information | I access the claims history,I should be able to see the status (accepted or denied) of each claim.,2.3.2.24,Must,@priority_Must @req_2.3.2.24 @HIPAA,7,476e2c5d-59ac-4952-b2f8-bba2f7be8026,,Healthcare\DayHealth,Release 1
"As a system, I want to have stored procedures for calculations within the database so that calculations are efficient and consistent.",The database is operational | A calculation is required,The system uses a stored procedure to perform the calculation,2.3.2.25,Must,@priority_Must @req_2.3.2.25,7,53b7fa06-d0da-46d8-9049-62d52f6249e4,,Healthcare\DayHealth,Release 1
"As a system, I want to have stored procedures for calculations within the database so that calculations are efficient and consistent.",A new calculation is needed | A developer creates a stored procedure,The stored procedure is stored in the database,2.3.2.25,Must,@priority_Must @req_2.3.2.25,7,53b7fa06-d0da-46d8-9049-62d52f6249e4,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to keep track of what claims have been sent for, so that I can ensure accurate billing and revenue cycle management.",The system has session data and billing information. | I view a session or patient record.,I can see a clear indication of whether a claim has been submitted for the services provided.,2.3.2.23;2.3.3.4.2,Must,@priority_Must @req_2.3.2.23 @req_2.3.3.4.2,7,8984bbd5-e444-47a8-94ba-961caf2554c3,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to run a billing report so that I can track billing information.",I am a Clinician and have access to the system. | I request a billing report.,The system generates a report containing billing information.,2.3.3.5.4,Must,@priority_Must @req_2.3.3.5.4,12,4aad4433-8ba0-40a0-9ff7-20a106dace69,,Healthcare\DayHealth,Release 1
"As a user, I want to see a list of sessions in the Portal so that I can easily find and access the sessions I need.",I am logged into the Portal. | I navigate to the sessions section.,I should see a list of all available sessions.,2.3.3.6,Must,@priority_Must @req_2.3.3.6,7,836b0423-b4f8-45d0-8e69-bbf2dc4cd2f9,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view details of a particular session so that I can review patient progress and session specifics.",I am logged in as a Doctor and viewing a list of sessions. | I select a particular session from the list.,"I should be able to see more details about the selected session, including facilitator information, time and scheduling, attendance, and group/individual notes.",2.3.3.7,Must,@priority_Must @req_2.3.3.7,7,b98e8f78-679e-4a87-bba2-68bff17b5f07,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view session information, so that I can review patient progress and make informed decisions about their care.",I am logged into the system as a Doctor and have selected a specific session. | I view the session details,"I should see the facilitator information, time and scheduling, attendance, and group and individual notes.",2.3.3.8,Must,@priority_Must @req_2.3.3.8,7,5e5de401-441f-4c08-816b-afcd430de3a6,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to see Group and Individual notes for a session so that I can understand the patient's progress and tailor treatment plans.",I am viewing the details of a specific session in the Clinician Portal. | I navigate to the 'Notes' section.,I should see both Group and Individual notes recorded for that session.,2.3.3.8.4,Must,@priority_Must @req_2.3.3.8.4,7,e8843f4e-d6aa-470f-b008-ae8c38dc930f,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to enter and view patient assessments, so that I can effectively manage patient care and track progress.",I am logged into the system as a Nurse. | I navigate to a patient's profile.,"I can enter new assessment data for Nursing, Nutrition, Health Literacy, Care Management, and Behavioral aspects.",2.3.3.9,Must,@priority_Must @req_2.3.3.9 @FDA21CFR11 @HIPAA,7,e7576094-cddd-4780-817b-f98355781994,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to enter and view patient assessments, so that I can effectively manage patient care and track progress.",I am viewing a patient's profile. | I access the 'Assessments' section.,I can view all previously recorded assessments for the patient.,2.3.3.9,Must,@priority_Must @req_2.3.3.9 @FDA21CFR11 @HIPAA,7,e7576094-cddd-4780-817b-f98355781994,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view patient assessments including Nursing, Nutrition, Health Literacy, Care Management, and Behavioral Health, so that I can make informed decisions about patient care.",I am logged in as a Doctor and viewing a patient's record. | I navigate to the 'Assessments' section.,"I can see assessments related to Nursing, Nutrition, Health Literacy, Care Management, and Behavioral Health.",2.3.3.9.1,Must,@priority_Must @req_2.3.3.9.1 @FDA21CFR11 @HIPAA,7,1c0eff54-c610-43d6-93b9-df2e591e4ff6,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to enter and view patient assessments (Nursing, Nutrition, Health Literacy, Care Management, Behavioral) so that I can effectively conduct the Care-plan process.",I am logged into the system as a Nurse. | I access a patient's record.,"I can view existing assessments (Nursing, Nutrition, Health Literacy, Care Management, Behavioral).",2.3.3.9;2.3.3.10,Must,@priority_Must @req_2.3.3.9 @req_2.3.3.10 @HIPAA,7,8b92bc9c-fa76-4b40-8818-91e71a0a5698,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to enter and view patient assessments (Nursing, Nutrition, Health Literacy, Care Management, Behavioral) so that I can effectively conduct the Care-plan process.",I am logged into the system as a Nurse. | I access a patient's record and navigate to the assessments section.,"I can enter new assessment data (Nursing, Nutrition, Health Literacy, Care Management, Behavioral).",2.3.3.9;2.3.3.10,Must,@priority_Must @req_2.3.3.9 @req_2.3.3.10 @HIPAA,7,8b92bc9c-fa76-4b40-8818-91e71a0a5698,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to perform care plan review so that I can ensure the patient's care plan is up-to-date and effective.",I am logged in as a Clinician and viewing a patient's record. | I initiate a care plan review.,I can access and review the patient's current care plan details.,2.3.3.10.1,Must,@priority_Must @req_2.3.3.10.1 @FDA21CFR11 @HIPAA,11,b4bdf2e3-d97f-4dc7-8514-b1e379db0b76,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view a patient's care plan history, so that I can track changes and understand the patient's treatment progression.",A patient has one or more care plans recorded in the system | I navigate to the patient's record and select the option to view care plan history,"I should see a chronological list of all care plans for that patient, including the dates they were active.",2.3.3.10.3,Must,@priority_Must @req_2.3.3.10.3,11,11453d48-f38d-42f2-affe-29a275b341d9,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view a patient's care plan history, so that I can track changes and understand the patient's treatment progression.",I am viewing the care plan history | I select a specific care plan from the history,I should be able to view the details of that care plan as it existed at that point in time.,2.3.3.10.3,Must,@priority_Must @req_2.3.3.10.3,11,11453d48-f38d-42f2-affe-29a275b341d9,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to make updates or changes to a Care Plan, so that the patient's care plan is current and accurate.",A Care Plan exists for a patient | I make updates or changes to the Care Plan,The system saves the updated Care Plan with the changes.,2.3.3.10.4,Must,@priority_Must @req_2.3.3.10.4,6;7;11,ad301c82-bf7b-4464-aceb-3a564aa7d83b,,Healthcare\DayHealth,Release 1
"As a system administrator, I want the system to audit all data changes, so that I can track data modifications for compliance and security purposes.","The system is running and a user modifies patient data or documents. | A user adds, changes, or deletes data.","The system should record the user's identity, the timestamp of the action, the type of action (add, change, delete), and the specific data that was modified.",2.3.3.11,Must,@priority_Must @req_2.3.3.11 @FDA21CFR11 @HIPAA,8,d3b3b842-4b5e-49d7-a51b-55743b9cad9a,,Healthcare\DayHealth,Release 1
"As a system administrator, I want the system to audit all data changes, so that I can track data modifications for compliance and security purposes.",I need to review the audit history. | I request an audit report for a specific user or patient.,"The system should generate a report displaying the audit history, including user, timestamp, action, and data modified.",2.3.3.11,Must,@priority_Must @req_2.3.3.11 @FDA21CFR11 @HIPAA,8,d3b3b842-4b5e-49d7-a51b-55743b9cad9a,,Healthcare\DayHealth,Release 1
"As a system administrator, I want the system to audit all data changes, so that I can track data modifications for compliance and security purposes.",I need to export the audit history. | I request to export the audit history.,"The system should export the audit history in a standard format (e.g., CSV, Excel) for external analysis.",2.3.3.11,Must,@priority_Must @req_2.3.3.11 @FDA21CFR11 @HIPAA,8,d3b3b842-4b5e-49d7-a51b-55743b9cad9a,,Healthcare\DayHealth,Release 1
"As a Doctor, I want the system to track the addition of new documents to a patient's EHR, so that I can maintain an accurate and auditable record of patient information.",A doctor adds a new document to a patient's EHR | The document is saved in the system,"The system should record the addition of the document, including the user who added it and the timestamp of the addition.",2.3.3.12,Must,@priority_Must @req_2.3.3.12 @FDA21CFR11 @HIPAA,8,c8b6c027-9235-4b22-aa0c-0d288fd24850,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to override the patient sign out for the session, so that I can manage patient sessions effectively.","A patient is signed in for a session | I, as a Facilitator, override the patient sign out","The system should record the override action, including the facilitator's identity and timestamp.",2.3.3.13,Should,@priority_Should @req_2.3.3.13 @FDA21CFR11 @HIPAA,8;12,91c56775-a690-42ef-94f5-c5aba3e3f274,,Healthcare\DayHealth,Release 1
"As a Clinician, I want the system to track deletions of existing documents or data, so that there is an audit trail for data integrity and compliance.",I am a clinician and I delete a patient document. | I confirm the deletion.,"The system records the deletion event, including the user, timestamp, and document details, in the audit log.",2.3.3.14,Must,@priority_Must @req_2.3.3.14 @FDA21CFR11 @HIPAA,8,c86f20e6-4261-4064-adcc-9452f9e0da3c,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view reports showing auditing history per patient so that I can monitor changes to patient data and ensure data integrity.",I am logged in as a Doctor. | I navigate to the patient's record.,"I can view a report displaying the audit history for that patient, including additions, changes, and deletions of documents and data.",2.3.3.15,Must,@priority_Must @req_2.3.3.15 @FDA21CFR11 @HIPAA,8,06c4fa1f-ea09-4f9a-915a-9e36473db1a3,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view the audit history of a document so that I can track changes and ensure data integrity.",I am logged in as a Clinician and viewing a patient's document | I select the option to view audit history,"I should see a detailed log of all additions, changes, and deletions made to the document, including the user who made the change and the timestamp.",2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,Must,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @FDA21CFR11 @HIPAA,8;11,c187bd13-bdf5-45db-9b6a-415b06ec88d3,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to view the audit history of a document so that I can track changes and ensure data integrity.",I am viewing the audit history of a document | I request to export the audit history,"The audit history should be exported in a standard format (e.g., CSV, PDF) that can be easily reviewed and shared, as per requirement 2.3.3.16.",2.3.3.11;2.3.3.12;2.3.3.13;2.3.3.14;2.3.3.15;2.3.3.16,Must,@priority_Must @req_2.3.3.11 @req_2.3.3.12 @req_2.3.3.13 @req_2.3.3.14 @req_2.3.3.15 @req_2.3.3.16 @FDA21CFR11 @HIPAA,8;11,c187bd13-bdf5-45db-9b6a-415b06ec88d3,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to clearly see the link between patient goals and sessions, so that I can better understand the patient's progress and tailor treatment plans accordingly.",A patient has defined goals and is participating in sessions. | I view the patient's session details in the portal.,I can clearly see how the session relates to the patient's defined goals.,2.3.3.17,Must,@priority_Must @req_2.3.3.17,8,96ab0005-0457-41fd-a8a5-a96750a0f74e,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to confirm session attendance taken through fingerprint scanner, so that I can ensure accurate attendance records.",I am a Facilitator with read access to session attendance data. | I access the system to review session attendance.,I can confirm the attendance records taken through the fingerprint scanner.,2.3.4.5,Should,@priority_Should @req_2.3.4.5,9,81a8d867-2325-4a77-b523-694586862462,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to have read access to all documents and write access upon creation or special cases, so that I can view, interpret, create, and add new documents for patient care.",I am logged in as a Clinician. | I attempt to access a patient document.,I should be able to view the document.,2.4,Must,@priority_Must @req_2.4 @FDA21CFR11 @HIPAA,8,e69a0b3f-0905-4db8-8a84-a67d8e2cb703,,Healthcare\DayHealth,Release 1
